,Total Credit (TH),Total Credit (PR),SGPA,Class,No. of Backlogs(TH),No. of Backlogs(PR),Total No. of Backlogs ,Rank
0,354,96.0,9,Dist,0.0,0.0,0.0,5
1,301,75.0,0,Fail,0.0,1.0,1.0,-
2,259,84.0,0,Fail,1.0,0.0,1.0,-
3,273,94.0,0,Fail,1.0,0.0,1.0,-
4,236,91.0,0,Fail,2.0,0.0,2.0,-
5,319,90.0,8.18,Dist,0.0,0.0,0.0,16
6,198,53.0,0,Fail,2.0,2.0,4.0,-
7,205,85.0,0,Fail,2.0,0.0,2.0,-
8,279,99.0,0,Fail,1.0,0.0,1.0,-
9,183,81.0,0,Fail,3.0,0.0,3.0,-
10,315,86.0,8.02,Dist,0.0,0.0,0.0,19
11,341,95.0,8.72,Dist,0.0,0.0,0.0,7
12,281,83.0,7.28,FC,0.0,0.0,0.0,32
13,239,61.0,0,Fail,0.0,2.0,2.0,-
14,298,95.0,0,Fail,1.0,0.0,1.0,-
15,364,98.0,9.24,Dist,0.0,0.0,0.0,2
16,297,86.0,7.66,FC,0.0,0.0,0.0,26
17,170,64.0,0,Fail,3.0,2.0,5.0,-
18,311,96.0,8.14,Dist,0.0,0.0,0.0,17
19,337,90.0,8.54,Dist,0.0,0.0,0.0,10
20,293,92.0,0,Fail,1.0,0.0,1.0,-
21,286,94.0,-,Fail,1.0,0.0,1.0,-
22,329,90.0,8.38,Dist,0.0,0.0,0.0,13
23,228,79.0,0,Fail,1.0,1.0,2.0,-
24,292,93.0,7.7,FC,0.0,0.0,0.0,23
25,312,74.0,0,Fail,0.0,1.0,1.0,-
26,151,62.0,0,Fail,3.0,1.0,3.0,-
27,259,83.0,0,Fail,1.0,0.0,1.0,-
28,286,93.0,7.58,FC,0.0,0.0,0.0,29
29,247,81.0,0,Fail,1.0,0.0,1.0,-
30,247,68.0,0,Fail,0.0,1.0,1.0,-
31,237,87.0,0,Fail,1.0,0.0,1.0,-
32,157,45.0,0,Fail,3.0,2.0,5.0,-
33,361,98.0,9.18,Dist,0.0,0.0,0.0,3
34,334,94.0,8.56,Dist,0.0,0.0,0.0,9
35,251,88.0,6.78,FC,0.0,0.0,0.0,37
36,92,64.0,0,Fail,6.0,1.0,7.0,-
37,366,100.0,9.32,Dist,0.0,0.0,0.0,1
38,277,87.0,7.28,FC,0.0,0.0,0.0,32
39,195,75.0,0,Fail,1.0,0.0,1.0,-
40,314,97.0,8.22,Dist,0.0,0.0,0.0,15
41,283,92.0,7.5,FC,0.0,0.0,0.0,30
42,218,71.0,0,Fail,1.0,1.0,2.0,-
43,290,94.0,7.68,FC,0.0,0.0,0.0,24
44,334,100.0,8.68,Dist,0.0,0.0,0.0,8
45,279,83.0,7.24,FC,0.0,0.0,0.0,34
46,236,81.0,6.34,HSC,0.0,0.0,0.0,40
47,256,86.0,6.84,FC,0.0,0.0,0.0,36
48,324,92.0,8.32,Dist,0.0,0.0,0.0,14
49,249,71.0,0,Fail,0.0,1.0,1.0,-
50,248,88.0,6.72,HSC,0.0,0.0,0.0,39
51,249,84.0,0,Fail,1.0,0.0,1.0,-
52,353,100.0,9.06,Dist,0.0,0.0,0.0,4
53,284,97.0,7.62,FC,0.0,0.0,0.0,27
54,298,78.0,0,Fail,0.0,1.0,1.0,-
55,306,95.0,8.02,Dist,0.0,0.0,0.0,19
56,274,88.0,7.24,FC,0.0,0.0,0.0,34
57,302,79.0,7.62,FC,0.0,0.0,0.0,27
58,346,96.0,8.84,Dist,0.0,0.0,0.0,6
59,124,81.0,0,Fail,4.0,0.0,4.0,-
60,237,84.0,0,Fail,1.0,0.0,1.0,-
61,297,87.0,7.68,FC,0.0,0.0,0.0,24
62,241,91.0,0,Fail,1.0,0.0,1.0,-
63,281,88.0,0,Fail,1.0,0.0,1.0,-
64,264,75.0,6.78,FC,0.0,0.0,0.0,37
65,283,92.0,7.5,FC,0.0,0.0,0.0,30
66,313,94.0,8.14,Dist,0.0,0.0,0.0,17
67,240,87.0,0,Fail,1.0,0.0,1.0,-
68,302,99.0,8.02,Dist,0.0,0.0,0.0,19
69,139,79.0,0,Fail,4.0,0.0,4.0,-
70,225,90.0,0,Fail,2.0,0.0,2.0,-
71,246,73.0,0,Fail,1.0,1.0,2.0,-
72,322,100.0,8.44,Dist,0.0,0.0,0.0,12
73,301,96.0,7.94,Dist,0.0,0.0,0.0,22
74,329,97.0,8.52,Dist,0.0,0.0,0.0,11
