,"Discrete 
Mathematics
210241","Digital Electronics    
and Logic Design
210242","Data Structures 
and Algorithms
210243","Computer Organization
and Architecture 
210244","Object Oriented
Programming
210245","Digital Electronics Lab
210246","Data Structures Lab
210247","Object Oriented Programming Lab 
210248","Soft Skills
210249"
0,77,79,74,77,73,10,20,10,8
1,71,77,77,66,65,9,20,10,9
2,66,53,60,59,53,9,20,8,8
3,69,61,68,59,52,10,20,10,10
4,68,69,58,51,66,10,20,10,10
5,77,68,73,57,62,8,20,10,10
6,57,51,50,48,46,8,18,10,10
7,68,49,52,47,52,10,18,10,8
8,64,69,66,60,52,10,20,10,10
9,60,33,53,53,64,9,18,10,10
10,70,60,71,53,61,9,20,10,9
11,71,84,68,65,66,9,20,9,9
12,69,63,68,54,68,10,20,9,9
13,56,59,56,61,46,10,16,9,8
14,75,76,72,56,62,10,20,9,10
15,68,75,76,70,74,10,20,10,10
16,72,59,66,65,64,9,16,9,9
17,54,44,56,36,45,9,20,8,9
18,72,80,67,72,54,10,20,9,9
19,70,70,68,63,63,10,20,9,9
20,61,78,63,58,60,9,20,10,10
21,66,60,61,60,55,10,20,10,10
22,70,65,70,66,68,10,20,10,10
23,57,57,61,52,48,8,18,10,9
24,59,54,71,67,62,9,20,10,9
25,63,68,55,62,63,8,18,9,9
26,36,41,49,53,50,8,18,9,8
27,68,54,67,56,53,8,18,10,8
28,59,70,62,58,51,9,20,10,9
29,51,48,60,60,57,8,18,8,8
30,68,53,60,40,42,8,20,9,9
31,53,52,68,58,56,8,20,9,8
32,43,48,60,53,48,8,14,9,8
33,79,83,70,81,69,10,20,10,10
34,70,76,68,75,73,10,20,10,10
35,51,56,49,59,53,7,20,9,10
36,41,29,37,29,55,6,16,8,10
37,78,71,74,65,78,10,20,10,10
38,62,65,63,52,52,8,20,10,9
39,55,49,47,42,47,6,16,9,8
40,70,60,58,58,62,10,20,9,9
41,62,51,61,49,58,10,20,10,10
42,48,49,49,56,67,10,18,9,8
43,65,69,58,65,64,10,20,10,9
44,84,71,60,67,56,10,20,10,10
45,48,58,57,59,61,9,18,10,7
46,50,48,56,40,57,9,20,10,8
47,64,47,49,47,60,9,20,8,9
48,68,70,70,64,61,10,20,10,10
49,57,43,45,50,59,8,18,10,10
50,55,54,52,49,59,8,20,10,10
51,45,67,62,64,56,10,16,8,6
52,73,80,64,71,76,10,20,10,10
53,65,63,53,55,61,10,20,10,10
54,68,69,75,53,76,8,18,9,9
55,70,60,56,53,61,9,20,9,9
56,56,60,56,56,58,9,16,10,9
57,71,60,66,60,59,9,18,8,8
58,85,68,67,74,69,10,20,10,9
59,47,32,43,46,52,8,18,9,8
60,47,57,62,53,60,8,20,10,8
61,77,57,57,52,52,8,20,10,8
62,72,48,61,53,52,9,20,9,8
63,63,64,63,57,65,6,20,9,8
64,55,64,48,46,53,7,16,8,6
65,56,67,50,62,66,10,18,9,9
66,53,64,75,59,68,10,20,9,8
67,64,55,67,40,50,9,20,8,8
68,71,58,60,59,62,10,20,10,10
69,48,47,29,48,54,9,18,9,5
70,54,56,65,49,74,9,20,9,8
71,60,48,55,67,62,9,18,8,6
72,81,60,67,51,70,10,20,10,10
73,69,69,51,50,53,9,20,9,8
74,70,73,78,60,78,10,20,10,9
